"HolderAddress","Balance","PendingBalanceUpdate"
"0x261444ab482184a3a85e0cb91a9e0a6392e446f5","150,000","No"
"0xae790d016b34b4c0a16af1f7f08c7d6bd2463f5d","150,000","No"
"0xfac4262c383d078f6a96bfc455aa2e2e1bda220f","150,000","No"
"0xe26ed5ffb4db09194f2743504ab8ed96bd1ac610","150,000","No"
"0xe3b846cb3d8f53f888b9594ab393ae5d385757a0","150,000","No"
"0xda900036c31f660899e23a3b8206712fd69350ef","150,000","No"
"0xca6c246b6bf9f01d26a3379488322ff22b12d47b","150,000","No"
"0xbe46470d1c4cbd42cc7613273ebed648c20fee26","150,000","No"
"0x16ef7aa9ae7ca89c40731f0f5d8fb3b40224c488","150,000","No"
"0xcc901207ba6c29407ef77ea03d1a0f0f99a72c14","150,000","No"
"0xb39ad3586d5048510b690e4a7a7ca74f203923ad","150,000","No"
"0x1dae62170e5ad5dc74f8f9e7dd3fe5bffc7b02e7","150,000","No"
"0xba906da46f23063e95303f6aaf8aa86d969a8db7","150,000","No"
"0xf7009fcc6a6595f5bb4c2203cb01afb3b01f450d","150,000","No"
"0x5a91e7d5621c4c952dbd08614d1e5c5300179dad","150,000","No"
"0xfea4ff487781e7113f4ae51348e76a99f448c0f2","150,000","No"
"0x60964c3a0423e4e41fc5803288d8582e281971c3","150,000","No"
"0x845a891ad4dbe879d91fd346d474233a3aac5a47","150,000","No"
"0x003cd6d401f7136c409c885c6e61a21a2fb95150","150,000","No"
"0x6952f5df7681bad90aade571e87fdefc65796768","150,000","No"
"0xdf0796f3e2b6c53a7a61ef9181ef142da1cbabf0","150,000","No"
"0xc5135e9ac950e640a7bcc389dd99d37488fcae9a","150,000","No"
"0x1f7edb3dffafa48fc852742d36a0d83487a60693","150,000","No"
"0x3b30aaea1383e76bcf5970fc4e0f794ad1cd12fc","150,000","No"
"0x71ef8e7f13b3714aac975dcb1fe3231b432b8833","139,984","No"
"0x1b684e91f1b3f056b70a75c37aa2cb93803bf8bf","135,000","No"
"0xb409f06b4cc6e7534743f3b73d4933650f69cf67","126,881.617454618411337629","No"
